,Country Name,Country Code,Year,GDP (current US$),GDP growth (annual %),"GNI, Atlas method (current US$)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"School enrollment, primary and secondary (gross), gender parity index (GPI)","Total debt service (% of exports of goods, services and primary income)",income,gdp_growth,inequality,inflation,life_exp,poverty,school_enroll,income_num,gdp_growth_num,inequality_num,inflation_num,life_exp_num,poverty_num,school_enroll_num
1197,Jamaica,JAM,2022,18813516805.214,6.43930323656186,17994404982.0658,,1.47098475516758,91.0,,17.4494491248565,12.6568969893701,71.481,0.0515076570013975,,,,22.6105240997185,low,very high,,very low,medium,,,1.0,4.0,2.0,0.0,2.0,1.0,2.0
1198,Jamaica,JAM,2023,21418804319.6395,2.74634433906714,19493607975.8494,,2.64698979146794,93.0,,16.7222660185948,11.3335050417508,71.479,0.0226098931571573,,8.2,,38.0423395484765,low,medium,,very low,medium,,,1.0,2.0,2.0,0.0,2.0,1.0,2.0
1199,Jamaica,JAM,2024,22014397089.7689,-0.535039063867487,20466129053.9951,,,94.0,,16.4757796489003,4.86236991657051,,-0.0215180207209529,,,,31.8505046193829,low,very low,,low,,,,1.0,0.0,2.0,1.0,1.0,1.0,2.0
1200,Japan,JPN,2015,4444930651964.18,1.56062669680782,5006471935031.63,25.1653478796719,18.0454889300336,96.0,7.9,28.5837114240167,2.11129899321594,83.7939024390244,-0.106124993746747,0.4,,1.0045599937439,,very high,low,high,high,very high,high,medium,4.0,1.0,3.0,3.0,4.0,3.0,2.0
1201,Japan,JPN,2016,5003677627544.24,0.753826745789127,4887581873397.65,24.8355973184149,17.620423854837,96.0,7.3,28.6299476490573,0.419944376171273,83.9848780487805,-0.0511374152133631,0.7,,1.00527000427246,,very high,low,medium,very high,very high,high,medium,4.0,1.0,2.0,4.0,4.0,3.0,2.0
1202,Japan,JPN,2017,4930837369151.42,1.67533175173359,4943005267666.01,25.2148269758242,17.5942774665502,97.0,7.4,28.8824260088632,-0.0743495037964408,84.099756097561,-0.081874296046114,0.6,,1.00452995300293,,very high,low,medium,very high,very high,high,medium,4.0,1.0,2.0,4.0,4.0,3.0,2.0
1203,Japan,JPN,2018,5040880939324.86,0.643391023533141,5300391313005.17,25.6417143090178,17.2970528139362,97.0,6.8,29.0140076866127,-0.0002375064599675,84.2109756097561,-0.126880068088791,1.0,,1.00345003604889,,very high,low,medium,very high,very high,medium,medium,4.0,1.0,2.0,4.0,4.0,2.0,2.0
1204,Japan,JPN,2019,5117993853016.51,-0.402169200894946,5315223353078.9,25.7896961306359,17.0303844450023,96.0,6.8,28.8040848106902,0.634803165679926,84.3563414634146,-0.140464977878172,1.2,,1.0034099817276,,very high,very low,medium,very high,very high,medium,medium,4.0,0.0,2.0,4.0,4.0,2.0,2.0
1205,Japan,JPN,2020,5054068005376.28,-4.16876457146743,5167907446929.82,25.2240172261075,18.6333487896777,98.0,6.9,29.0568076109153,0.933912186858549,84.56,-0.294194617750067,1.2,,,,very high,very low,medium,very high,very high,medium,,4.0,0.0,2.0,4.0,4.0,2.0,2.0
1206,Japan,JPN,2021,5039148168861.22,2.69657404187188,5493061119169.75,25.824730869587,18.0039913482614,95.0,,29.2191940850705,-0.203835821828704,84.4456097560976,-0.459952415807642,,,,,very high,medium,,very high,very high,,,4.0,2.0,2.0,4.0,4.0,2.0,2.0
1207,Japan,JPN,2022,4262463317796.53,0.941998775483285,5334916887561.31,26.7755742133001,18.2592615351902,98.0,,27.7174374582966,0.399048968762756,83.9963414634146,-0.443851919148528,,,,,very high,low,,very high,very high,,,4.0,1.0,2.0,4.0,4.0,2.0,2.0
1208,Japan,JPN,2023,4213167237905.83,1.47503481053384,4901110430339.08,26.1821637488649,17.1028060703212,94.0,,28.6021835997719,4.06819848886964,84.0412195121951,-0.487370782049143,,,,,very high,low,,medium,very high,,,4.0,1.0,2.0,2.0,4.0,2.0,2.0
1209,Japan,JPN,2024,4027597523550.58,0.104309021773304,4463243824292.14,26.1778501334799,17.5547415163067,95.0,,,2.88805363875247,,-0.435651699326323,,,,,very high,very low,,medium,,,,4.0,0.0,2.0,2.0,2.0,2.0,2.0
1210,Jordan,JOR,2015,38587017887.3239,2.49652879315188,36645221073.1296,24.8350329106344,2.57704311274313,94.0,,25.2328062594007,2.16975211695323,75.06,8.21798329205466,,,,14.1388961326861,medium,medium,,high,medium,,,2.0,2.0,1.0,3.0,2.0,2.0,2.0
1211,Jordan,JOR,2016,39892551126.7606,1.9941808493012,38174010512.3423,23.4044187563796,3.37782667964516,96.0,,24.6693119626594,1.36200664175068,75.55,4.72325254401232,,,,17.1503390780725,medium,low,,high,high,,,2.0,1.0,1.0,3.0,3.0,2.0,2.0
1212,Jordan,JOR,2017,41608435915.493,2.47359815449045,40069648832.0782,24.717360352457,1.81281942554955,93.0,,24.5139698529782,1.78355010971296,76.071,2.25160030043779,,,1.00144994258881,12.3017188255286,medium,medium,,high,high,,medium,2.0,2.0,1.0,3.0,3.0,2.0,2.0
1213,Jordan,JOR,2018,43370860704.2254,1.91907091341564,42817007185.7508,24.3624336974922,1.50858480712756,92.0,,24.0778332538588,2.27304680591043,76.491,2.20412998393259,,15.7,1.00223994255066,13.9594674109825,medium,low,,high,high,,medium,2.0,1.0,1.0,3.0,3.0,2.0,2.0
1214,Jordan,JOR,2019,44503006338.0282,1.75124077866225,44703663545.0152,21.4133341743379,1.36854381035936,87.0,,24.1116880393062,0.844355656854063,76.865,1.98343822476301,,,1.0001300573349,19.2145322382441,medium,low,,very high,high,,medium,2.0,1.0,1.0,4.0,3.0,2.0,2.0
1215,Jordan,JOR,2020,43700383098.5916,-1.10275188309046,44216979167.5592,21.4585413761158,1.54387858863055,76.0,,23.5538100159112,-0.708587970279524,75.583,1.79543228239066,,,1.00542998313904,27.3626006953401,medium,very low,,very high,high,,medium,2.0,0.0,1.0,4.0,3.0,2.0,2.0
1216,Jordan,JOR,2021,46296100140.8451,3.65564358999147,46904506597.944,25.1777968181063,1.71367970298807,81.0,,23.4204240200794,2.2036043491638,74.204,1.83419162693059,,,1.00218999385834,21.3934366564588,medium,medium,,high,medium,,medium,2.0,2.0,1.0,3.0,2.0,2.0,2.0
1217,Jordan,JOR,2022,48764963380.2817,2.64743514912058,49249595198.898,,1.44968826668558,86.0,,24.4882015845826,2.61607320131351,77.088,1.70151702842564,,,,23.1153007808048,medium,medium,,high,high,,,2.0,2.0,1.0,3.0,3.0,2.0,2.0
1218,Jordan,JOR,2023,51088476338.0282,2.88408339281683,50889376009.0115,,2.08415985427159,95.0,,24.7963140068339,1.82791592575342,77.814,1.61225050235636,,,,16.2393218106271,medium,medium,,high,high,,,2.0,2.0,1.0,3.0,3.0,2.0,2.0
1219,Jordan,JOR,2024,53352289577.4648,2.48889409603647,51202608537.7412,,,99.0,,25.1350172397528,1.89510102183445,,0.988722042141178,,,,18.1501287979427,medium,medium,,high,,,,2.0,2.0,1.0,3.0,2.0,2.0,2.0
1220,Kazakhstan,KAZ,2015,184388404706.042,1.20000000053288,199694752875.065,27.9079156027413,43.4296221763068,99.0,10.0,30.8547873936113,1.82354987628641,72.024,1.49239879824091,0.1,,1.02092003822327,70.3930594217248,high,low,very high,high,medium,very high,very high,3.0,1.0,4.0,3.0,2.0,4.0,4.0
1221,Kazakhstan,KAZ,2016,137278320084.171,1.09999999910173,155999097992.4,27.8275828886455,32.0985345639872,99.0,9.8,31.9797903606788,13.6384336176426,72.549,1.53335297365685,0.2,,1.01620995998383,45.6795104482137,medium,low,very high,very low,medium,very high,high,2.0,1.0,4.0,0.0,2.0,4.0,3.0
1222,Kazakhstan,KAZ,2017,166805788827.233,4.10000000257358,145112008014.425,26.3524825267661,24.2104171386819,99.0,9.8,32.3252253010728,11.211105653729,72.996,1.5579235201186,0.1,,1.01248002052307,48.7861705508129,medium,high,very high,very low,medium,very high,high,2.0,3.0,4.0,0.0,2.0,4.0,3.0
